Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.9707602339181286,0.9903846153846154,0.9626168224299065,0.976303317535545
Decision Tree,0.9473684210526315,0.9803921568627451,0.9345794392523364,0.9569377990430622
KNN,0.9532163742690059,0.9380530973451328,0.9906542056074766,0.9636363636363636
